VComment,ProjectYea,OBJECTID_1,VLPID,TileName,PointCloud,PointClo_1,PointClo_2,DEMHost,DEMDownloa,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
Current,2016,11359,29,S13_4941_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4941_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3753193.705751489847898,7749.281284406545637,7749.281284407098610,3753193.705752023495734
Current,2016,11360,29,S13_4941_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4941_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3754568.759986000135541,7750.700689385457736,7750.700689388829232,3754568.759989259298891
Current,2016,11361,29,S13_4942_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4942_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3755945.323815220035613,7752.121394216680528,7752.121394218790556,3755945.323817260563374
Current,2016,11362,29,S13_4942_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4942_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3757322.140866669826210,7753.542098760070985,7753.542098757186068,3757322.140863883309066
Current,2016,11363,29,S13_4943_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4943_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3758699.888315889984369,7754.963503431852587,7754.963503432098150,3758699.888316133990884
Current,2016,11364,29,S13_4943_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4943_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3760078.082625044975430,7756.385108124835824,7756.385108126017258,3760078.082626189570874
Current,2016,11365,29,S13_4944_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4944_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3761457.692705930210650,7757.807913113445466,7757.807913113516406,3761457.692705994006246
Current,2016,11366,29,S13_4944_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4944_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3762837.266129665076733,7759.230417935275909,7759.230417929164105,3762837.266123749315739
Current,2016,11367,29,S13_4945_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4945_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3764218.254687005188316,7760.654122478067620,7760.654122482354069,3764218.254691159352660
Current,2016,11368,29,S13_4945_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4945_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y423_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3765599.498512770049274,7762.077827318081290,7762.077827323456404,3765599.498517972882837
